pSale_hour,Sale date,Drink name,Milk type,Quantity,Revenue,Take Away,Syrup,Location
06:52,2026/03/25,Tea,0,1,0,no,0,
06:31,2026/03/25,Cappuccino,Regular,2,0,no,0,
06:31,2026/03/25,Americano,0,1,0,yes,0,
06:33,2026/03/25,Espreso,0,1,0,no,0,
06:33,2026/03/25,Americano,0,1,0,no,0,
06:43,2026/03/25,Flat White,Regular,1,0,yes,0,
06:46,2026/03/25 ,Americano,0,1,0,no,0,
06:48,2026/03/25,Americano,0,1,0,no,0,
06:52,2026/03/25,Americano,0,1,0,no,0,
06:52,2026/03/25,Cappuccino,Regular,1,0,no,0,
07:01,2026/03/25,D Espresso,0,1,0,no,0,
07:05,2026/03/25,Americano,0,1,0,no,0,
07:05,2026/03/25,Cappuccino,Regular,1,0,no,0,
07:06,2026/03/25 ,Americano,0,1,0,no,0,
07:10,2026/03/25,Americano,0,1,0,no,0,
07:10,2026/03/25,Cappuccino,Low Fat,1,0,no,0,
07:11,2026/03/25,Espresso L,0,1,0,no,0,
07:15,2026/03/25,Latte,Regular,1,0,no,0,
07:15,2026/03/25,French P Small,0,1,0,no,0,
07:12,2026/03/25 ,Cappuccino,Oat milk,1,0,no,0,
07:12,2026/03/25,Americano,0,1,0,no,0,
07:16,2026/03/25,Americano,0,1,0,no,0,
07:16,2026/03/25,D Espresso,0,1,0,no,0,
07:16,2026/03/25 ,Green tea,0,1,0,no,0,
07:26,2026/03/25,Americano,0,1,0,no,0,
07:23,2026/03/25,Tea Iris Break,0,1,0,no,0,
07:21,2026/03/25,Americano,0,1,0,no,0,
07:20,2026/03/25,D Espresso,0,1/,0,no,0,
07:20,2026/03/25,Cappuccino,Regular,/2,0,no,0,
07:25,2026/03/25,Americano,0,1,0,yes,0,
07:19,2026/03/25,Cappuccino,Regular,1,0,no,0,
07:18,2026/03/25,Espresso Lungo,0,1/,0,no,0,
07:18,2026/03/25,Cappuccino,Regular,/2,0,no,0,
07:29,2026/03/25,Cappuccino,Regular,1/,0,no,0,
07:29,2026/03/25,Cappuccino,Regular,/2,0,no,0,
07:28,2026/03/25,Tea Iris Break,0,1,0,no,0,
07:23,2026/03/25,Latte,Regular,1/,0,no,0,
07:23,2026/03/25,Americano,0,/2,0,no,0,
07:21,2026/03/25,Cappuccino,Regular,1,0,no,0,
07:27,2026/03/25,Americano,0,1,0,no,0,
07:26,2026/03/25,Americano,0,1,0,no,0,
07:26,2026/03/25,Americano,0,1,0,no,0,
07:33,2026/03/25,Americano,0,1,0,no,0,
07:32,2026/03/25,Americano,0,1,0,no,0,
07:33,2026/03/25,D Espresso,0,1,0,no,0,
07:47,2026/03/25,Flat White,Regular,1/,0,no,0,
07:47,2026/03/25,Tea Early Grey,,/2,0,no,0,
07:47,2026/03/25,Americano,0,1,0,yes,0,
07:41,2026/03/25,Cappuccino,Regular,1,0,no,0,
07:37,2026/03/25,Cappuccino,Regular,1,0,no,0,
07:36,2026/03/25,Cappuccino,Regular,1,0,no,0,
07:34,2026/03/25,Espresso Lungo,0,1,0,no,0,
07:36,2026/03/25,Tea Iris Break,0,1,0,no,0,
07:37,2026/03/25,Americano,0,1,0,no,0,
07:34,2026/03/25,Americano,0,1,0,no,0,
07:47,2026/03/25,Green tea,0,1,0,no,0,
07:50,2026?03/25,Americano,0,2,0,no,0,
07:55,2026/03/25,Tea Iris Break,0,1,0,no,0,
08:01,2026/03/25,Americano,0,1,0,no,0,
07:58,2026/03/25,Tea Iris Break,0,1,0,no,0,
08:00,2026/03/25,Latte,Skinny,1,0,no,0,
08:03,2026/03/25,Latte,Regular,1,0,no,0,
08:01,2026/03/25,D Espresso,0,1,0,no,0,
08:12,2026/03/25,Americano,0,1,0,no,0,
08:01,2026/03/25,Tea Iris Break,0,1,0,no,0,
08:17,2026/03/25,Americano,0,1,0,no,0,
