sale_hour,sale_date,drink_name,milk_type,quantity,revenue,takeaway,syrup,location
06:52:00,25/03/2026,Tea,0,1,0,No,0,Coburt
06:31:00,25/03/2026,Cappuccino,Regular,2,0,No,0,Coburt
06:31:00,25/03/2026,Americano,0,1,0,Yes,0,Coburt
06:33:00,25/03/2026,Espresso,0,1,0,No,0,Coburt
06:33:00,25/03/2026,Americano,0,1,0,No,0,Coburt
06:43:00,25/03/2026,Flat White,Regular,1,0,Yes,0,Coburt
06:46:00,25/03/2026,Americano,0,1,0,No,0,Coburt
06:48:00,25/03/2026,Americano,0,1,0,No,0,Coburt
06:52:00,25/03/2026,Americano,0,1,0,No,0,Coburt
06:52:00,25/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:01:00,25/03/2026,D Espresso,0,1,0,No,0,Coburt
07:05:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:05:00,25/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:06:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:10:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:10:00,25/03/2026,Cappuccino,Low Fat,1,0,No,0,Coburt
07:11:00,25/03/2026,Espresso Lungo,0,1,0,No,0,Coburt
07:15:00,25/03/2026,Latte,Regular,1,0,No,0,Coburt
07:15:00,25/03/2026,Small French P,0,1,0,No,0,Coburt
07:12:00,25/03/2026,Cappuccino,Oat Milk,1,0,No,0,Coburt
07:12:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:16:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:16:00,25/03/2026,D Espresso,0,1,0,No,0,Coburt
07:16:00,25/03/2026,Green tea,0,1,0,No,0,Coburt
07:26:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:23:00,25/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
07:21:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:20:00,25/03/2026,D Espresso,0,1,0,No,0,Coburt
07:20:00,25/03/2026,Cappuccino,Regular,2,0,No,0,Coburt
07:25:00,25/03/2026,Americano,0,1,0,Yes,0,Coburt
07:19:00,25/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:18:00,25/03/2026,Espresso Lungo,0,1,0,No,0,Coburt
07:18:00,25/03/2026,Cappuccino,Regular,2,0,No,0,Coburt
07:29:00,25/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:29:00,25/03/2026,Cappuccino,Regular,2,0,No,0,Coburt
07:28:00,25/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
07:23:00,25/03/2026,Latte,Regular,1,0,No,0,Coburt
07:23:00,25/03/2026,Americano,0,2,0,No,0,Coburt
07:21:00,25/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:27:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:26:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:26:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:33:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:32:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:33:00,25/03/2026,D Espresso,0,1,0,No,0,Coburt
07:47:00,25/03/2026,Flat White,Regular,1,0,No,0,Coburt
07:47:00,25/03/2026,Tea Early Grey,,2,0,No,0,Coburt
07:47:00,25/03/2026,Americano,0,1,0,Yes,0,Coburt
07:41:00,25/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:37:00,25/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:36:00,25/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
07:34:00,25/03/2026,Espresso Lungo,0,1,0,No,0,Coburt
07:36:00,25/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
07:37:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:34:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:47:00,25/03/2026,Green tea,0,1,0,No,0,Coburt
07:50:00,2026?03/25,Americano,0,2,0,No,0,Coburt
07:55:00,25/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
08:01:00,25/03/2026,Americano,0,1,0,No,0,Coburt
07:58:00,25/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
08:00:00,25/03/2026,Latte,Skinny,1,0,No,0,Coburt
08:03:00,25/03/2026,Latte,Regular,1,0,No,0,Coburt
08:01:00,25/03/2026,D Espresso,0,1,0,No,0,Coburt
08:12:00,25/03/2026,Americano,0,1,0,No,0,Coburt
08:01:00,25/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
08:17:00,25/03/2026,Americano,0,1,0,No,0,Coburt
08:10:00,25/03/2026,Americano,Cream,1,0,No,0,Coburt
08:10:00,25/03/2026,Cappuccino,Regular,2,0,No,0,Coburt
08:16:00,20026/03/25,Latte,Oat Milk,1,0,No,0,Coburt
08:17:00,25/03/2026,Americano,0,1,0,No,0,Coburt
08:17:00,25/03/2026,Tea Iris Break,0,2,0,No,0,Coburt
08:16:00,25/03/2026,Latte,Regular,1,0,Yes,0,Coburt
08:15:00,25/03/2026,Flat White,Regular,1,0,No,0,Coburt
08:19:00,25/03/2026,Latte,Regular,1,0,No,0,Coburt
08:17:00,25/03/2026,Americano,0,1,0,No,0,Coburt
08:33:00,25/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
08:29:00,26/03/2026,Latte,Almond,1,0,,Vanilla,Coburt
08:29:00,25/03/2026,Cappuccino,Regular,2,0,No,0,Coburt
08:19:00,25/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
08:36:00,25/03/2026,Americano,0,1,0,No,0,Coburt
08:36:00,25/03/2026,Tea Iris Break,0,1,0,No,0,Coburt
08:29:00,25/03/2026,Tea Iris Break,Ice,1,0,No,0,Coburt
08:37:00,25/03/2026,Large French P,0,1,0,No,0,Coburt
08:35:00,25/03/2026,Cappuccino,Regular,2,0,No,0,Coburt
08:37:00,25/03/2026,Americano,0,2,0,No,0,Coburt
08:36:00,25/03/2026,Tea PP Mint,0,1,0,No,0,Coburt
08:38:00,25/03/2026,Americano,0,1,0,No,0,Coburt
08:37:00,25/03/2026,Americano,hot Milk OTS,1,0,No,0,Coburt
08:44:00,25/03/2026,Americano,0,1,0,No,0,Coburt
08:39:00,25/03/2026,Americano,0,1,0,No,0,Coburt
08:39:00,25/03/2026,Cappuccino,Regular,2,0,No,0,Coburt
09:17:00,25/03/2026,Flat White,Regular,1,0,No,0,Coburt
08:51:00,25/03/2026,D Espresso,0,1,0,No,0,Coburt
08:46:00,25/03/2026,Latte,Regular,1,0,Yes,0,Coburt
08:49:00,25/03/2026,Large French P,0,1,0,No,0,Coburt
08:53:00,25/03/2026,Americano,0,1,0,Yes,0,Coburt
08:52:00,25/03/2026,Americano,0,1,0,No,0,Coburt
08:53:00,25/03/2026,Americano,0,1,0,No,0,Coburt
08:53:00,25/03/2026,Americano,0,2,0,No,0,Coburt
08:53:00,25/03/2025,Hot Chocolate,Regular,3,0,No,0,Coburt
08:53:00,25/03/2025,Hot Chocolate,Regular,4,0,No,0,Coburt
08:56:00,25/03/2026,Americano,Oat Milk OTS,1,0,No,0,Coburt
09:03:00,25/03/2026,Small French P,0,1,0,No,0,Coburt
09:06:00,26/03/2026,M French P,0,1,0,No,0,Coburt
09:07:00,25/03/2026,Flat White,Regular,1,0,No,0,Coburt
09:07:00,25/03/2026,Tea Early Grey,0,2,0,No,0,Coburt
09:11:00,25/03/2026,D Espresso,0,1,0,No,0,Coburt
09:11:00,25/03/2026,Cappuccino,Regular,2,0,No,0,Coburt
09:13:00,25/03/2026,Large French P,0,1,0,No,0,Coburt
09:16:00,25/03/2026,Americano,0,1,0,No,0,Coburt
09:28:00,25/03/2026,Flat White,Regular,1,0,No,0,Coburt
09:29:00,25/03/2026,Cappuccino,Regular,1,0,No,0,Coburt
09:31:00,25/03/2026,Flat White,Regular,1,0,No,0,Coburt
09:34:00,25/03/2026,Americano,0,1,0,No,0,Coburt
09:33:00,25/03/2026,Hot Chocolate,Regular,1,0,No,0,Coburt
09:38:00,25/03/2026,Latte,Oat Milk Ice,1,0,No,0,Coburt
09:51:00,25/03/2026,Flat White,Regular,1,0,No,0,Coburt
09:51:00,25/03/2026,Large French P,0,2,0,No,0,Coburt
09:48:00,25/03/2026,Macchiato,Regular,1,0,No,0,Coburt
09:35:00,25/03/2026,Americano,Cream,1,0,No,0,Coburt
09:58:00,25/03/2026,Americano,0,1,0,No,0,Coburt
